% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.460747422e+07 +1.460741928e+07 +1.460741928e+07 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
3 0 +1.121714553e+07 +1.121709059e+07 +1.121709059e+07 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01 +2.1092e-01 -1.0510e+00 +4.7570e-01 -5.0064e-01 -1.9169e-01
6 0 +8.192074538e+06 +8.192019598e+06 +8.192019598e+06 +4.2408e-01 -2.8508e-01 -5.7692e-01 +7.1168e-01 +1.1310e+00 +1.0313e+00 -7.3922e-01 -2.0921e-01 +4.3126e-01 +1.0755e+00
13 0 +4.258209999e+06 +4.258155059e+06 +4.258155059e+06 +8.9103e-01 -8.0939e-01 +1.5028e+00 -1.3019e+00 +6.8686e-01 +2.2905e+00 -8.9054e-01 -4.6630e-01 +1.9965e-01 -4.0348e-01
24 0 +2.783131062e+06 +2.783076122e+06 +2.783076122e+06 -6.3037e-01 +3.1646e-01 +1.4557e-01 -5.5160e-01 +2.2439e+00 +7.3392e-01 -1.9251e+00 +2.8645e-01 -5.6179e-01 +9.5243e-01
51 0 +1.151730179e+06 +1.151675239e+06 +1.151675239e+06 +2.2514e+00 -3.9621e-01 +2.1949e+00 +1.9950e+00 +1.9655e+00 +1.1184e+00 -2.1834e+00 -7.1515e-01 -2.8869e+00 +9.8158e-01
53 0 +6.569174194e+05 +6.568624794e+05 +6.568624794e+05 +9.7173e-01 -1.7115e+00 +2.4726e+00 -4.2760e-01 +1.3574e+00 +2.0603e+00 -2.8225e+00 -3.1715e-01 +1.0705e+00 +6.6488e-01
54 0 +4.904588367e+05 +4.904038967e+05 +4.904038967e+05 +9.0406e-01 +1.0859e+00 +1.1407e+00 +1.9326e+00 +2.6247e+00 +1.9666e-01 -3.0956e+00 -7.0662e-01 +1.0337e-01 +1.5674e-02
103 0 +2.301667562e+05 +2.301118162e+05 +2.301118162e+05 -2.7893e+00 +2.4149e+00 +4.7083e-01 +2.3193e+00 +4.2314e+00 +5.6129e-01 -3.2013e+00 +1.8432e+00 +1.6347e-01 +9.8411e-01
135 0 +1.647950877e+05 +1.647401477e+05 +1.647401477e+05 -3.9307e+00 +1.2783e+00 +2.5298e+00 +1.4041e+00 +2.9385e+00 +7.8245e-01 -2.1070e+00 +5.0757e-01 -3.1512e+00 +3.0853e-01
