% f evaluations | g evaluations | best noise-free fitness - Fopt (7.627000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.552914355e+06 +1.552990625e+06 +1.552990625e+06 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
2 0 +6.218440916e+05 +6.219203616e+05 +6.219203616e+05 -3.6342e-01 -3.6573e-01 +3.4196e-01 -1.8133e+00 -1.6249e+00 -4.6229e-01 -9.1283e-01 +4.1425e-01 -8.0802e-01 -1.3123e+00
3 0 +1.868508053e+05 +1.869270753e+05 +1.869270753e+05 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01 +2.1092e-01 -1.0510e+00 +4.7570e-01 -5.0064e-01 -1.9169e-01
4 0 +1.355190486e+04 +1.362817486e+04 +1.362817486e+04 -5.0171e-01 +1.9523e+00 +8.6503e-02 -9.5771e-01 +9.2254e-01 -1.1208e+00 +3.0886e-01 -1.8597e+00 -1.2282e+00 +2.9686e-01
11 0 +8.121793620e+01 +1.574879362e+02 +1.574879362e+02 -1.3154e+00 -3.2065e-01 -2.4271e-01 -7.0228e-01 -6.1286e-02 +5.0405e-01 +1.9862e+00 +2.7458e-01 +3.5755e-01 +2.5554e-02
75 0 +6.881418224e+01 +1.450841822e+02 +1.450841822e+02 -8.2185e-01 +1.0221e+00 -6.2877e-01 -7.4901e-01 +9.7745e-02 +1.7353e-01 -1.2227e+00 +4.1954e-02 +1.3040e+00 +5.5568e-03
128 0 +4.246235525e+01 +1.187323552e+02 +1.187323552e+02 +6.3882e-01 +1.4340e+00 -9.9105e-01 -1.4700e-01 +1.1166e-01 -6.5185e-02 -1.3377e+00 -2.7850e-02 +1.2717e-01 +2.8953e-01
705 0 +3.881394206e+01 +1.150839421e+02 +1.150839421e+02 -4.0290e-02 +1.0828e-01 -9.2891e-01 -8.0343e-01 +2.4146e-01 +1.0332e-01 +9.9186e-01 -3.7134e-01 +1.2551e+00 +1.0013e+00
718 0 +3.200323970e+01 +1.082732397e+02 +1.082732397e+02 +2.8464e-01 -8.4997e-01 -7.7157e-01 -1.9516e-01 +8.8771e-02 -1.1079e+00 +1.3298e+00 +4.6214e-01 +1.4314e+00 +3.0706e-01
1123 0 +3.127582172e+01 +1.075458217e+02 +1.075458217e+02 -2.6633e+00 -1.5408e+00 -1.2480e+00 -1.5088e+00 -1.0320e+00 -6.9562e-01 +1.4139e+00 +1.0984e+00 +2.1334e+00 +3.8483e+00
1195 0 +2.900268064e+01 +1.052726806e+02 +1.052726806e+02 -1.1038e+00 -1.7835e+00 +1.6913e-01 -1.6697e+00 -2.0934e+00 -1.4267e+00 -1.0230e-01 +2.2097e+00 +2.7038e+00 +1.9397e+00
